Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Symbol
2024-12-04,9.98,10.0,9.75,9.86,350100,0.0,0.0,DOMO
2024-12-03,9.67,9.73,9.48,9.53,229400,0.0,0.0,DOMO
2024-12-02,9.53,9.6,9.39,9.45,239800,0.0,0.0,DOMO
2024-11-29,9.36,9.47,9.32,9.45,90900,0.0,0.0,DOMO
2024-11-27,9.28,9.39,9.14,9.37,164300,0.0,0.0,DOMO
2024-11-26,9.34,9.54,9.33,9.38,176100,0.0,0.0,DOMO
2024-11-25,9.44,9.76,9.44,9.59,209200,0.0,0.0,DOMO
2024-11-22,9.45,9.66,9.17,9.19,256400,0.0,0.0,DOMO
2024-11-21,9.08,9.19,8.88,8.88,178300,0.0,0.0,DOMO
2024-11-20,8.79,8.84,8.54,8.77,139300,0.0,0.0,DOMO
2024-11-19,8.77,8.83,8.31,8.42,246300,0.0,0.0,DOMO
2024-11-18,8.48,8.64,8.35,8.47,334700,0.0,0.0,DOMO
2024-11-15,8.46,8.87,8.34,8.87,215600,0.0,0.0,DOMO
2024-11-14,8.81,9.15,8.77,9.1,166900,0.0,0.0,DOMO
2024-11-13,9.1,9.26,8.9,8.96,223800,0.0,0.0,DOMO
2024-11-12,8.94,9.13,8.89,9.03,273100,0.0,0.0,DOMO
2024-11-11,9.07,9.32,8.98,9.09,280000,0.0,0.0,DOMO
2024-11-08,9.01,9.18,8.87,9.1,174700,0.0,0.0,DOMO
2024-11-07,9.08,9.14,8.79,8.83,246400,0.0,0.0,DOMO
2024-11-06,8.79,8.94,8.43,8.44,427300,0.0,0.0,DOMO
2024-11-05,8.26,8.33,8.07,8.08,260900,0.0,0.0,DOMO
2024-11-04,8.05,8.17,7.77,7.8,213900,0.0,0.0,DOMO
2024-11-01,7.81,7.99,7.76,7.94,191600,0.0,0.0,DOMO
2024-10-31,7.95,8.29,7.95,8.29,178800,0.0,0.0,DOMO
2024-10-30,8.29,8.5,8.26,8.44,146300,0.0,0.0,DOMO
2024-10-29,8.39,8.53,8.07,8.08,248700,0.0,0.0,DOMO
2024-10-28,8.1,8.2,8.05,8.2,190200,0.0,0.0,DOMO
2024-10-25,8.09,8.14,7.7,7.74,324500,0.0,0.0,DOMO
2024-10-24,7.67,7.7,7.51,7.61,185400,0.0,0.0,DOMO
2024-10-23,7.55,7.66,7.39,7.55,300500,0.0,0.0,DOMO
2024-10-22,7.56,7.98,7.53,7.94,368200,0.0,0.0,DOMO
2024-10-21,7.96,8.02,7.48,7.78,383500,0.0,0.0,DOMO
2024-10-18,7.78,7.93,7.68,7.87,381600,0.0,0.0,DOMO
2024-10-17,7.83,7.83,7.42,7.49,537300,0.0,0.0,DOMO
2024-10-16,7.47,7.66,7.34,7.47,410100,0.0,0.0,DOMO
2024-10-15,7.41,7.67,7.38,7.38,491500,0.0,0.0,DOMO
2024-10-14,7.41,7.51,7.35,7.4,224400,0.0,0.0,DOMO
2024-10-11,7.4,7.53,7.37,7.42,299000,0.0,0.0,DOMO
2024-10-10,7.42,7.55,7.31,7.51,166000,0.0,0.0,DOMO
2024-10-09,7.59,7.65,7.39,7.45,261200,0.0,0.0,DOMO
2024-10-08,7.45,7.56,7.29,7.29,277700,0.0,0.0,DOMO
