Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-01-17,16.29,16.48,15.22,15.29,120800,0.0,0.0,0.0
2025-01-16,17.19,17.88,16.9,17.19,311400,0.0,0.0,0.0
2025-01-15,17.89,17.98,15.81,16.3,325300,0.0,0.0,0.0
2025-01-14,18.82,19.38,18.59,18.7,214700,0.0,0.0,0.0
2025-01-13,21.05,22.49,20.34,20.49,432200,0.0,0.0,0.0
2025-01-10,18.37,19.28,17.97,18.54,153000,0.0,0.0,0.0
2025-01-08,17.5,19.11,17.32,18.29,350800,0.0,0.0,0.0
2025-01-07,15.18,17.43,15.18,17.2,705400,0.0,0.0,0.0
2025-01-06,15.22,15.25,14.27,14.78,205800,0.0,0.0,0.0
2025-01-03,16.33,16.37,15.19,15.45,289500,0.0,0.0,0.0
2025-01-02,16.79,17.22,16.42,16.88,484400,0.0,0.0,0.0
2024-12-31,17.17,18.22,16.97,18.02,589400,0.0,0.0,0.0
2024-12-30,18.14,18.7,17.34,17.55,210700,0.0,0.0,0.0
2024-12-27,17.64,18.56,17.59,18.23,162600,0.0,0.0,0.0
2024-12-26,17.92,18.44,17.9,18.25,324400,0.0,0.0,0.0
2024-12-24,17.14,17.2,16.38,16.57,226500,0.0,0.0,0.0
2024-12-23,18.1,18.91,17.44,17.56,983000,0.189,0.0,0.0
2024-12-20,18.38,18.56,16.59,17.14,614800,0.0,0.0,0.0
2024-12-19,15.24,18.21,15.11,17.8,661700,0.0,0.0,0.0
2024-12-18,14.03,15.49,13.85,15.21,512100,0.0,0.0,0.0
2024-12-17,13.02,13.63,12.97,13.5,203100,0.0,0.0,0.0
2024-12-16,13.77,13.77,12.38,12.81,196000,0.0,0.0,0.0
2024-12-13,13.64,13.98,13.35,13.68,184400,0.0,0.0,0.0
2024-12-12,13.25,14.12,13.16,13.89,263700,0.0,0.0,0.0
2024-12-11,15.13,15.21,14.19,14.23,296000,0.0,0.0,0.0
2024-12-10,15.26,16.82,15.18,15.84,486400,0.0,0.0,0.0
2024-12-09,14.11,15.22,13.75,15.09,508500,0.0,0.0,0.0
2024-12-06,14.11,14.18,12.68,12.97,706900,0.0,0.0,0.0
2024-12-05,13.95,15.05,13.72,14.8,366900,0.0,0.0,0.0
2024-12-04,15.83,15.84,14.17,14.27,460400,0.0,0.0,0.0
2024-12-03,17.43,17.84,16.9,16.9,240900,0.0,0.0,0.0
2024-12-02,16.67,17.36,16.16,16.81,130700,0.37,0.0,0.0
2024-11-29,16.85,16.98,16.38,16.91,105900,0.0,0.0,0.0
2024-11-27,18.24,18.25,16.58,16.59,308500,0.0,0.0,0.0
2024-11-26,20.33,21.0,19.86,20.28,198200,0.0,0.0,0.0
2024-11-25,18.51,20.31,17.83,18.36,226500,0.0,0.0,0.0
2024-11-22,21.04,21.33,20.59,20.96,115900,0.0,0.0,0.0
2024-11-21,20.16,21.92,19.63,20.23,135100,0.0,0.0,0.0
2024-11-20,24.27,25.43,23.93,24.74,102000,0.0,0.0,0.0
2024-11-19,24.38,24.51,23.63,24.28,47300,0.0,0.0,0.0
2024-11-18,24.36,24.74,22.82,23.44,138000,0.0,0.0,0.0
2024-11-15,24.83,25.74,24.51,24.52,152900,0.0,0.0,0.0
2024-11-14,23.1,24.85,22.97,24.4,149000,0.0,0.0,0.0
2024-11-13,22.39,23.81,21.05,23.32,156700,0.0,0.0,0.0
2024-11-12,21.96,22.62,21.48,21.7,132100,0.0,0.0,0.0
2024-11-11,24.63,24.99,20.6,20.68,120800,0.0,0.0,0.0
2024-11-08,28.87,30.02,28.19,29.04,75300,0.0,0.0,0.0
2024-11-07,32.13,32.92,29.66,29.86,115300,0.0,0.0,0.0
2024-11-06,37.84,38.56,35.04,35.39,68900,0.0,0.0,0.0
2024-11-05,44.68,46.21,44.2,45.71,27000,0.0,0.0,0.0
2024-11-04,44.6,46.42,44.6,45.92,78300,0.0,0.0,0.0
2024-11-01,42.13,43.49,40.65,42.71,34700,0.872,0.0,0.0
2024-10-31,40.77,42.71,40.77,42.61,53100,0.0,0.0,0.0
2024-10-30,39.37,40.15,38.03,40.15,20200,0.0,0.0,0.0
2024-10-29,41.68,41.68,39.02,41.14,31000,0.0,0.0,0.0
2024-10-28,44.92,46.11,44.6,45.79,20200,0.0,0.0,0.0
2024-10-25,44.69,47.23,43.93,46.92,30700,0.0,0.0,0.0
2024-10-24,45.03,45.72,44.58,44.66,54600,0.0,0.0,0.0
2024-10-23,43.51,47.52,43.33,45.66,39200,0.0,0.0,0.0
2024-10-22,41.78,42.25,41.65,41.87,5500,0.0,0.0,0.0
2024-10-21,39.86,40.75,39.86,40.27,21100,0.0,0.0,0.0
2024-10-18,42.06,42.06,40.18,41.0,5300,0.0,0.0,0.0
2024-10-17,42.93,43.38,41.68,42.91,8500,0.0,0.0,0.0
2024-10-16,41.74,42.66,41.66,42.06,10700,0.0,0.0,0.0
2024-10-15,42.5,44.43,39.9,42.9,22000,0.0,0.0,0.0
2024-10-14,44.09,44.16,41.2,41.91,25400,0.0,0.0,0.0
2024-10-11,49.72,49.72,48.15,48.37,15600,0.0,0.0,0.0
2024-10-10,51.88,54.16,51.31,52.57,10000,0.0,0.0,0.0
2024-10-09,49.97,50.88,48.57,50.39,6600,0.0,0.0,0.0
2024-10-08,49.92,50.14,49.16,49.39,3100,0.0,0.0,0.0
2024-10-07,47.95,49.37,46.47,49.12,6500,0.0,0.0,0.0
2024-10-04,51.86,52.36,49.46,49.69,9200,0.0,0.0,0.0
2024-10-03,53.69,55.21,53.22,53.27,14700,0.0,0.0,0.0
2024-10-02,50.31,52.39,48.3,52.38,15700,0.0,0.0,0.0
2024-10-01,43.76,49.57,43.76,47.99,42300,0.0,0.0,0.0
2024-09-30,43.03,44.58,42.98,44.24,45200,0.0,0.0,0.0
2024-09-27,42.3,42.3,40.04,40.75,26400,0.0,0.0,0.0
2024-09-26,43.32,43.68,41.7,42.37,34200,0.0,0.0,0.0
2024-09-25,43.61,45.28,43.29,45.28,12000,0.0,0.0,0.0
2024-09-24,43.37,44.37,42.49,42.49,29200,0.0,0.0,0.0
2024-09-23,42.82,43.07,40.76,41.91,54200,0.0,0.0,0.0
2024-09-20,46.9,47.56,45.58,46.58,63800,0.0,0.0,0.0
2024-09-19,50.47,51.75,48.95,49.75,34600,0.0,0.0,0.0
2024-09-18,57.56,58.23,55.04,57.11,22400,0.0,0.0,0.0
2024-09-17,56.65,56.65,53.2,55.28,39700,0.0,0.0,0.0
2024-09-16,58.06,59.65,58.05,59.52,51100,0.0,0.0,0.0
2024-09-13,56.33,56.34,52.43,53.12,25100,0.0,0.0,0.0
2024-09-12,56.56,57.61,55.65,55.69,17400,0.0,0.0,0.0
2024-09-11,57.46,59.26,55.61,56.45,19400,0.0,0.0,0.0
2024-09-10,56.88,57.58,54.33,54.71,18900,0.0,0.0,0.0
2024-09-09,58.48,60.24,56.03,56.03,16900,0.0,0.0,0.0
2024-09-06,55.06,64.28,55.03,63.45,76200,0.0,0.0,0.0
